ID,478,513,519,559,572,598,600,643,645,646,647,648,701,711,712,719,805
478,0,8.26365,8.19296,7.90215,11.886,7.55259,4.40035,9.94868,11.6902,12.0983,16.2085,4.37766,11.3237,8.30195,12.5093,4.16227,8.27502
513,8.26365,0,7.58225,12.346,8.36218,7.29475,10.447,17.8245,14.9283,13.346,13.9277,12.6413,15.7676,12.6508,8.44337,12.4259,11.5132
519,8.19296,7.58225,0,7.2944,11.2783,6.94485,3.79261,10.9787,7.34608,10.9914,15.1016,12.4031,10.2709,8.01663,12.224,8.04366,3.93091
559,7.90215,12.346,7.2944,0,3.98386,6.65403,3.5018,9.97902,6.34642,9.99177,9.5494,12.2798,3.42157,13.7882,14.8944,12.0644,9.76159
572,11.886,8.36218,11.2783,3.98386,0,4.86823,7.48565,13.9629,10.3303,9.67571,5.56554,16.2637,7.40543,13.4721,14.5783,16.0483,13.7454
598,7.55259,7.29475,6.94485,6.65403,4.86823,0,3.15224,16.6331,13.0005,14.5439,10.4338,11.9303,10.0756,14.9615,15.7381,11.7149,10.8758
600,4.40035,10.447,3.79261,3.5018,7.48565,3.15224,0,13.4808,9.84821,13.4936,13.0512,8.77802,6.92336,11.8092,16.0166,8.56263,7.72352
643,9.94868,17.8245,10.9787,9.97902,13.9629,16.6331,13.4808,0,3.6326,4.47855,8.58872,5.57101,6.55745,8.27494,9.38116,9.93044,7.04777
645,11.6902,14.9283,7.34608,6.34642,10.3303,13.0005,9.84821,3.6326,0,3.64535,7.75552,9.20362,2.92485,7.44174,8.54796,7.52792,3.41517
646,12.0983,13.346,10.9914,9.99177,9.67571,14.5439,13.4936,4.47855,3.64535,0,4.11016,10.0496,6.5702,3.79639,4.9026,7.93606,7.06052
647,16.2085,13.9277,15.1016,9.5494,5.56554,10.4338,13.0512,8.58872,7.75552,4.11016,0,14.1597,10.6804,7.90655,9.01277,12.0462,11.1707
648,4.37766,12.6413,12.4031,12.2798,16.2637,11.9303,8.77802,5.57101,9.20362,10.0496,14.1597,0,12.1285,8.4991,12.7065,4.35943,8.47218
701,11.3237,15.7676,10.2709,3.42157,7.40543,10.0756,6.92336,6.55745,2.92485,6.5702,10.6804,12.1285,0,10.3666,11.4728,10.4528,6.34002
711,8.30195,12.6508,8.01663,13.7882,13.4721,14.9615,11.8092,8.27494,7.44174,3.79639,7.90655,8.4991,10.3666,0,4.2074,4.13967,4.08572
712,12.5093,8.44337,12.224,14.8944,14.5783,15.7381,16.0166,9.38116,8.54796,4.9026,9.01277,12.7065,11.4728,4.2074,0,8.34707,8.29312
719,4.16227,12.4259,8.04366,12.0644,16.0483,11.7149,8.56263,9.93044,7.52792,7.93606,12.0462,4.35943,10.4528,4.13967,8.34707,0,4.11275
805,8.27502,11.5132,3.93091,9.76159,13.7454,10.8758,7.72352,7.04777,3.41517,7.06052,11.1707,8.47218,6.34002,4.08572,8.29312,4.11275,0
